time,Druck1,Druckdifferenz,V
0,0,0,1.740453485
0.1,-0.625945009,-0.024712641,1.680093777
0.2,-2.875137323,0.784193129,1.621502182
0.3,-9.528496763,1.846307959,1.214409485
0.4,-19.70348597,0.882454479,0.92788378
0.5,-30.38414252,0.033865976,0.992694254
0.6,-39.66657123,0.549733966,1.150544036
0.7,-47.93165136,1.099743724,1.098354228
0.8,-55.33875083,0.532110174,1.040128449
0.9,-61.15317356,-0.008353394,1.211543923
1,-63.45498736,-0.500841523,1.412864888
1.1,-62.75537228,-0.01997269,1.651438158
1.2,-59.49233949,0.297277339,1.660370176
1.3,-55.40740933,0.004980013,1.757220071
1.4,-50.94310337,0.125573991,1.750909738
1.5,-46.55747905,0.454286964,1.708779881
1.6,-37.318651,8.166496491,1.78432097
1.7,-19.37823512,27.35414973,3.880357557
1.8,-15.95583443,26.93608273,4.850807529
1.9,-14.72399068,24.30750298,4.970612404
2,-18.56686205,16.25523751,5.345909558
2.1,-18.65907492,13.10774083,5.526561896
2.2,-14.63879401,15.17107435,5.476780379
2.3,-10.44761858,17.45263344,5.375449233
2.4,-8.304671533,17.5841384,5.312559295
2.5,-7.229188755,16.72365295,5.452666981
2.6,-5.500197337,16.75640156,5.360786092
2.7,-3.692023124,16.83379409,5.390142859
2.8,-1.818197352,17.15106763,5.343470782
2.9,-0.254587722,17.25381053,5.402763525
3,1.026870555,17.01120871,5.443704479
3.1,2.403047493,17.17929236,5.470531016
3.2,3.48354184,17.03992461,5.426450138
3.3,4.633195843,17.10480191,5.367889027
3.4,5.69414507,17.21068712,5.402854979
3.5,6.632310848,17.23165374,5.393099875
3.6,7.585010178,17.38458609,5.398495667
3.7,8.516159759,17.58990749,5.454648486
3.8,9.346075639,17.697577,5.407427684
3.9,9.823678196,17.57497056,5.472603975
4,10.27171249,17.53076185,5.437302691
4.1,10.80143537,17.47511466,5.430626542
4.2,11.33216056,17.58062785,5.450228205
4.3,11.69149008,17.48506752,5.453733945
4.4,12.03027217,17.49688154,5.448460092
4.5,12.07036473,17.21921639,5.470287138
4.6,12.76897749,17.7113634,5.463793897
4.7,13.1308128,17.97700153,5.49915615
4.8,13.30922466,18.04079548,5.493668904
4.9,13.38840746,17.93270079,5.506990718
5,13.44804513,17.86927771,5.472847853
5.1,13.45155323,17.81931451,5.474920812
5.2,13.49515389,17.83323731,5.550949657
5.3,13.60741304,17.90174721,5.483669922
5.4,13.463581,17.73923859,5.486809846
5.5,13.72167682,17.89269439,5.484858825
5.6,13.98227842,18.22544388,5.495619924
5.7,14.09854683,18.39339269,5.59804852
5.8,14.03289527,18.29755159,5.523452456
5.9,14.21030483,18.41253532,5.538511899
6,14.11308038,18.30942647,5.560186521
6.1,14.15467641,18.33848616,5.519458961
6.2,14.14064402,18.38969388,5.516501945
6.3,14.1536741,18.36741754,5.496138164
6.4,14.14916368,18.34985911,5.579574791
6.5,14.30201655,18.52624958,5.527384983
6.6,14.24989623,18.55062649,5.520251563
6.7,14.53705915,18.88205035,5.643775571
6.8,14.43482313,18.69026908,5.547169554
6.9,14.42329653,18.70023333,5.570795197
7,14.43783008,18.64466575,5.564240986
7.1,14.33258712,18.57165908,5.592683212
7.2,14.30702812,18.53381959,5.621765617
7.3,14.38270281,18.6207514,5.641092918
7.4,14.32156167,18.60131276,5.580062546
