time,Druck1,Druckdifferenz,V
0,0,0,1.706920314
0.1,-0.014533551,-0.022464701,1.651621066
0.2,-0.052120321,-0.042909953,1.614399247
0.3,-0.040092555,-0.040348398,1.604247841
0.4,-0.004009255,0.007247861,1.621471697
0.5,-0.015535865,-0.007604715,1.607875521
0.6,0.001503471,-0.003101713,1.634702057
0.7,-0.031572887,-0.022106675,1.579585718
0.8,-0.012027766,-0.015097889,1.550503313
0.9,-0.007517354,-0.005982293,1.555563774
1,0.017540493,0.019331398,1.543979587
1.1,0.010524296,0.03099178,1.529285961
1.2,0.016037022,0.023712329,1.53193813
1.3,0.004009255,0.012196249,1.530657773
1.4,-0.007517354,0.011670913,1.517061596
1.5,0.038589084,0.007632013,1.555228442
1.6,0.003006942,0.013240684,1.554984564
1.7,0.003508099,0.002228881,1.520445398
1.8,0.03107173,0.040026254,1.526816701
1.9,0.005011569,0.013198563,1.488802278
2,0.040092555,0.038813337,1.512549861
2.1,0.032575201,0.029760921,1.492795774
2.2,0.006013883,0.012921659,1.484199089
2.3,15.0181698,20.60758408,2.439071378
2.4,20.30036388,26.82232793,4.623635537
2.5,20.78598494,25.99214557,4.89860754
2.6,14.40224793,18.22224814,5.271404949
2.7,9.227301446,12.1953426,5.597042525
2.8,9.757525481,12.99138809,5.531561387
2.9,11.86789732,15.40032937,5.457910349
3,12.50687241,16.03393175,5.437607538
3.1,12.04079647,15.55071428,5.44967948
3.2,11.61481307,15.18152816,5.452971828
3.3,11.75914627,15.46222597,5.472543006
3.4,11.74160578,15.36614151,5.440930371
3.5,11.87992509,15.48604008,5.452057287
3.6,11.78570759,15.43199002,5.414804982
3.7,11.77568445,15.49948748,5.456325145
3.8,11.86388807,15.52296268,5.438552564
3.9,11.92001765,15.57781304,5.466293642
4,12.09492142,15.70257147,5.428492613
4.1,12.01373399,15.70965007,5.418402177
4.2,11.83231518,15.45813013,5.420017866
4.3,11.96963218,15.63663794,5.424407663
4.4,11.90748872,15.50592841,5.459678462
4.5,11.90748872,15.53918807,5.419438657
4.6,12.01273168,15.67513225,5.473366093
4.7,12.14203017,15.78728922,5.469311627
4.8,11.96762755,15.6768475,5.445533561
4.9,12.02626292,15.74034389,5.410628578
5,11.88944707,15.48021145,5.480651936
5.1,12.04881498,15.59762101,5.434650522
5.2,11.92302459,15.5122539,5.50266189
5.3,12.02375713,15.55004893,5.449496572
5.4,11.96261599,15.51398046,5.456508053
5.5,12.04229994,15.66734735,5.495284593
5.6,11.98617036,15.63577876,5.52101368
5.7,11.85135915,15.48050006,5.458093257
5.8,11.93405004,15.62536094,5.424499117
5.9,11.9601102,15.55854989,5.479493518
6,11.96612408,15.5794027,5.463671958
6.1,11.98466689,15.56698843,5.479554487
6.2,11.95760442,15.57037134,5.385265307
6.3,11.98867615,15.59965217,5.435473609
6.4,11.87892278,15.55181294,5.408311741
6.5,12.08239249,15.67776205,5.441875397
6.6,12.03327911,15.72484585,5.452758435
6.7,11.95960904,15.64350048,5.415140314
6.8,12.15405793,15.71795874,5.437638023
6.9,12.0067178,15.68242224,5.44513726
7,12.15155215,15.8743318,5.46544007
7.1,11.99769697,15.69514811,5.407763016
7.2,12.06284737,15.78230106,5.454374124
7.3,12.2708275,15.8963866,5.438522079
7.4,12.10845265,15.740152,5.451264684
7.5,12.14804405,15.79176805,5.451081776
7.6,12.04380341,15.71183254,5.47211622
7.7,12.04831382,15.65801062,5.415018375
7.8,12.06735778,15.64507414,5.474402573
7.9,11.88092741,15.57428505,5.41498789
8,11.87591584,15.51247621,5.518788297
8.1,12.02776639,15.65537224,5.43696736
8.2,11.98617036,15.73734865,5.39773355
8.3,12.04881498,15.74447522,5.399654086
8.4,12.04330225,15.90091146,5.449862388
8.5,9.953978999,18.71892355,5.33392907
8.6,3.106671826,24.19995006,5.083588706
8.7,-9.394687862,26.02941159,5.073772632
8.8,-24.4369132,24.83036965,5.147149307
8.9,-38.20619993,24.73361867,5.130535145
9,-49.88415877,24.19073912,5.178822912
9.1,-57.20455809,18.66482654,5.405720541
9.2,-57.74079601,10.47374928,5.723889366
9.3,-47.98276937,4.873998641,5.959078834
9.4,-28.44366288,3.211860924,5.961273732
9.5,-2.694720828,9.763069688,5.674626089
9.6,17.14357636,23.94927092,4.984482943
9.7,20.40560683,28.27714567,4.717528416
9.8,8.676529977,22.37848773,5.200467049
9.9,-4.991021893,24.10657798,5.191291154
10,-19.56667013,26.55501614,5.036947113
10.1,-35.27894228,26.51853481,5.027984611
10.2,-48.16769628,22.60784306,5.190803399
10.3,-53.16272743,13.08258997,5.577867648
10.4,-46.27582886,2.152542957,6.072420952
10.5,-25.2212238,0.084774505,6.182867024
10.6,0.728181023,15.55354785,5.558174531
10.7,16.66396917,31.88921949,4.549069958
10.8,10.74430348,25.00425604,4.893851927
10.9,-0.088704777,16.16785093,5.457575018
11,-7.341447908,21.84518553,5.251498439
11.1,-18.08925949,27.9027141,4.949151174
11.2,-34.1779005,28.42573965,4.939365585
11.3,-50.28458316,26.4060593,5.035118031
11.4,-61.60321249,21.74294437,5.272014643
11.5,-64.07792542,12.01557817,5.623259368
11.6,-53.9846248,1.19750534,6.100924148
11.7,-30.85974045,0.5435216,6.184391259
11.8,-2.957828217,17.82076243,5.376760075
11.9,12.11095844,33.02182021,4.481393922
12,6.043952609,24.68983133,4.879646056
12.1,-3.436934245,14.68088337,5.573630274
12.2,-8.647964032,20.62949387,5.30695011
12.3,-17.15510297,27.8065886,4.940005764
12.4,-32.29054349,28.25764949,4.926440072
12.5,-48.67236131,27.10594302,5.011980143
12.6,-60.76477694,23.5239076,5.183060285
12.7,-65.08926011,14.1007181,5.526074141
12.8,-57.29877559,3.169850044,6.01093331
12.9,-37.02146494,0.324531346,6.211857975
13,-9.114039979,13.25999112,5.596188953
13.1,9.783084485,31.21305284,4.659698938
13.2,7.239211894,27.79189268,4.736093599
13.3,-5.786357946,20.53840942,5.294786714
13.4,-16.73062304,23.65684149,5.218422538
13.5,-28.86864396,26.63431401,5.056061021
13.6,-42.79379049,26.6823194,5.046702217
13.7,-55.48709328,24.61880488,5.140351219
13.8,-62.1930742,18.33368662,5.384228827
13.9,-60.12630301,8.52854905,5.769189631
14,-45.27201152,0.6767245,6.141865101
14.1,-19.85032495,5.952009862,5.94414133
14.2,3.387319709,26.77602637,4.943115203
14.3,8.487092656,30.92354958,4.611167294
14.4,-1.181728047,19.61323659,5.220373559
14.5,-9.764040521,18.503347,5.358987495
14.6,-16.94010664,25.37334822,5.104074425
14.7,-29.09717152,26.8266491,4.994024654
14.8,-43.31649717,26.12302709,5.076699163
14.9,-55.50513493,24.7391746,5.149313721
15,-62.12040644,18.18556138,5.409195797
15.1,-58.86639448,6.159316667,5.872105982
15.2,-41.30786018,-1.265016923,6.293648427
15.3,-15.23617307,10.58969935,5.81516056
15.4,5.546303775,31.77385059,4.66567394
15.5,4.452278191,28.59674673,4.686159659
15.6,-5.789866044,16.17251276,5.426968378
15.7,-11.51007127,17.88123701,5.491047219
15.8,-17.63821825,26.73400975,5.03621548
15.9,-31.02863034,29.15498558,4.881048352
16,-47.11576788,27.65195438,4.966832301
16.1,-60.2054858,24.52785485,5.156447141
16.2,-65.60645407,16.88441777,5.461355121
16.3,-60.99480797,6.287955068,5.86003404
16.4,-43.46834772,1.293785865,6.129579767
16.5,-17.16763189,9.179649708,5.813392448
16.6,4.265847812,28.87390488,4.780723201
16.7,6.521054009,29.74832338,4.675550983
16.8,-2.809485765,17.31977393,5.372126401
16.9,-8.194417008,15.7924519,5.552931162
17,-13.57934825,26.72240869,4.999847232
17.1,-26.53174918,29.66300977,4.847027426
17.2,-42.93010518,27.21529147,4.98725705
17.3,-56.60417209,25.11174961,5.161873418
17.4,-65.33633048,21.97284314,5.262960686
17.5,-67.07684851,15.03179305,5.510161127
17.6,-59.51739734,5.796649504,5.869728175
17.7,-39.38943145,0.633456018,6.158296355
17.8,-13.23104418,13.15947498,5.655054911
17.9,5.410490246,32.09625287,4.585834508
18,3.133734301,27.22677828,4.779473328
18.1,-5.514229731,14.86933846,5.493272602
18.2,-6.665888363,12.96754651,5.596554769
18.3,-7.360993029,22.83366404,5.181566535
18.4,-16.5286568,30.46238589,4.767370902
