time,P1 [mmHg]3
0,1.236991927
0.1,1.237093826
0.2,1.235450718
0.3,1.233527391
0.4,1.230508659
0.5,1.228292374
0.6,1.225477438
0.7,1.225872293
0.8,1.225885031
0.9,1.228177739
1,1.231922495
1.1,1.234011407
1.2,1.232648519
1.3,1.229910007
1.4,1.228012154
1.5,1.224916998
1.6,1.222267647
1.7,1.218892271
1.8,1.215606056
1.9,1.216166496
2,1.215427735
2.1,1.213746415
2.2,1.212230681
2.3,1.211784876
2.4,1.210918742
2.5,1.211109801
2.6,1.213822839
2.7,1.215032879
2.8,1.216191971
2.9,1.217045367
3,1.21652314
3.1,1.214077584
3.2,1.210842318
3.3,1.20691924
3.4,1.20188802
3.5,1.198601805
3.6,1.197098807
3.7,1.197761145
3.8,1.199391516
3.9,1.20062703
4,1.201518639
4.1,1.202091816
4.2,1.202652256
4.3,1.202130028
4.4,1.199709947
4.5,1.199824583
4.6,1.201161996
4.7,1.201989918
4.8,1.201161996
4.9,1.199251406
5,1.196678478
5.1,1.192258646
5.2,1.187596806
5.3,1.184947455
5.4,1.18399216
5.5,1.185189463
5.6,1.18753312
5.7,1.188169983
5.8,1.187227426
5.9,1.187087316
6,1.185673479
6.1,1.185113039
6.2,1.18441249
6.3,1.186208444
6.4,1.189418236
6.5,1.192538866
6.6,1.192233172
6.7,1.19149441
6.8,1.19014426
6.9,1.18851389
7,1.186081072
7.1,1.183368034
7.2,1.182272629
7.3,1.183457195
7.4,1.185711691
7.5,1.185546106
7.6,1.182336315
7.7,1.179827074
7.8,1.176311588
7.9,1.173611287
8,1.170388759
8.1,1.172426722
8.2,1.173764135
8.3,1.179725175
8.4,1.181852299
8.5,1.182603798
8.6,1.183189712
8.7,1.183049602
8.8,1.180514886
8.9,1.178031119
9,1.17727962
9.1,1.177941958
9.2,1.179992658
9.3,1.179661489
9.4,1.177177722
9.5,1.174834065
9.6,1.17182807
9.7,1.170872775
9.8,1.168274373
9.9,1.167013383
10,1.166707689
10.1,1.169624523
10.2,1.169879268
10.3,1.16935704
10.4,1.169586311
10.5,1.169662735
10.6,1.169089558
10.7,1.169089558
10.8,1.169369777
10.9,1.173942456
11,1.177101298
11.1,1.178948202
11.2,1.179317583
11.3,1.178642508
11.4,1.178425974
11.5,1.176247902
11.6,1.17317822
11.7,1.171038359
11.8,1.173407491
11.9,1.172337561
12,1.173241907
12.1,1.172019129
12.2,1.168873024
