time,P1 [mmHg]3
0,1.242137783
0.1,1.241195225
0.2,1.238647772
0.3,1.235756413
0.4,1.234890278
0.5,1.235616303
0.6,1.238775145
0.7,1.242736435
0.8,1.244366805
0.9,1.242583588
1,1.242214207
1.1,1.239704965
1.2,1.236265903
1.3,1.234635533
1.4,1.235539879
1.5,1.23931011
1.6,1.243678993
1.7,1.242927494
1.8,1.241386284
1.9,1.240176244
2,1.235871048
2.1,1.233234434
2.2,1.232826841
2.3,1.236087581
2.4,1.241424496
2.5,1.243449722
2.6,1.242125046
2.7,1.240672998
2.8,1.238456713
2.9,1.235195973
3,1.233132536
3.1,1.232801367
3.2,1.236456962
3.3,1.242010411
3.4,1.243717204
3.5,1.242354317
3.6,1.240316354
3.7,1.236953716
3.8,1.232928739
3.9,1.232482935
4,1.236584335
4.1,1.241742928
4.2,1.242927494
4.3,1.242647274
4.4,1.239628542
4.5,1.23818923
4.6,1.233807611
4.7,1.234393525
4.8,1.239526644
4.9,1.244672499
5,1.24285107
5.1,1.240227193
5.2,1.236023895
5.3,1.233565603
5.4,1.236138531
5.5,1.242978443
5.6,1.243487934
5.7,1.242456215
5.8,1.24015077
5.9,1.235170498
6,1.233310857
6.1,1.237424994
6.2,1.242023148
6.3,1.243284137
6.4,1.241042378
6.5,1.237756163
6.6,1.23287779
6.7,1.233247171
6.8,1.23810007
6.9,1.244392279
7,1.242749172
7.1,1.240023397
7.2,1.235998421
7.3,1.232788629
7.4,1.232533884
7.5,1.238953467
7.6,1.244379542
7.7,1.242940231
7.8,1.240609311
7.9,1.237577842
8,1.232648519
8.1,1.233094324
8.2,1.237883536
8.3,1.243959212
8.4,1.243284137
8.5,1.240252668
8.6,1.236406013
8.7,1.232826841
8.8,1.231858809
8.9,1.23818923
9,1.242226944
9.1,1.240494676
9.2,1.238061858
9.3,1.234100568
9.4,1.232635782
9.5,1.237195724
9.6,1.2432714
9.7,1.243016655
9.8,1.239883287
9.9,1.236087581
10,1.232546621
10.1,1.23478838
10.2,1.24192125
10.3,1.243207714
10.4,1.241539132
10.5,1.238431239
10.6,1.233221696
10.7,1.231514903
10.8,1.236291378
10.9,1.243564357
11,1.24229063
11.1,1.2412207
11.2,1.236826343
11.3,1.23427889
11.4,1.234189729
11.5,1.239093576
11.6,1.243946475
11.7,1.243755416
11.8,1.24164103
11.9,1.238571348
12,1.234393525
12.1,1.23357834
12.2,1.237170249
12.3,1.24285107
12.4,1.243615306
12.5,1.241564606
12.6,1.238915255
12.7,1.234329839
12.8,1.232521147
12.9,1.234342576
13,1.241666504
13.1,1.245245676
13.2,1.242621799
13.3,1.239883287
13.4,1.235285134
13.5,1.230585082
13.6,1.233221696
13.7,1.239131788
13.8,1.24257085
13.9,1.240545625
14,1.237768901
14.1,1.235106812
