time,P1 [mmHg]3
28.4,1.215172989
28.5,1.219822092
28.6,1.225197218
28.7,1.230852565
28.8,1.232839578
28.9,1.232381037
29,1.233107061
29.1,1.233043375
29.2,1.232661257
29.3,1.23315801
29.4,1.232623045
